"","ukr","en","","","NOTES – use \n for newline","max length"
"action_crumbling_earth","Zemletrus","Earthquake","","","",""
"actiondesc_crumbling_earth","Vyklykaje ğniv zemli","Calls the anger of the earth","","","",""
"action_circleshot_a","Kruğovyj postril","Circle shot","","","",""
"actiondesc_circleshot_a","Snarjady letjatj za kruğovym šablonom","Projectiles fly out in a circular pattern","","","",""
"action_circleshot_b","Spiraljnyj postril","Spiral shot","","","",""
"actiondesc_circleshot_b","Snarjady letjatj po spirali","Projectiles fly out in a spiral pattern","","","",""
"action_acidshot","Kyslotna kulja","Acid ball","","","",""
"actiondesc_acidshot","Žaxlyvyj kyslotnyj snarjad","A terrifying acidic projectile","","","",""
"action_thunderball","Ğromovyj zarjad","Thunder charge","","","",""
"actiondesc_thunderball","Snarjad z kolosaljnoju nakopyčenoju elektroenerğijeju","A projectile with immense stored electricity","","","",""
"action_bloomshot","Duğa slyzu","Slime arc","","","",""
"actiondesc_bloomshot","Zaklynannja, vykorystani razom zi cym, budutj maty duğu zi slyzu miž nymy","Spells cast alongside this will have arcs of slime flowing between them","","","",""
"action_icecircle","Kolo ljodu","Ice circle","","","",""
"actiondesc_icecircle","Vystriljuje kryžani snarjady v koli","Shoots icy projectiles in a circle","","","",""
"action_firebomb","Voğnjana bomba","Firebomb","","","",""
"actiondesc_firebomb","Poviljnyj voğnjanyj snarjad","Slow, fiery bolt","","","",""
"action_soilball","Kupa gruntu","Chunk of soil","","","",""
"actiondesc_soilball","Ne zakopajte sebe!","Don't soil yourself","","","",""
"action_pink_orb","Samonavidna sfera","Homing orb","","","",""
"actiondesc_pink_orb","Nebezpečna, samonavidna sfera","A dangerous, homing orb","","","",""
"action_death_cross","Smerteljnyj xrest","Death cross","","","",""
"actiondesc_death_cross","Smertonosnyj enerğetyčnyj xrest, jakyj vybuxaje čerez korotkyj čas","A deadly energy cross that explodes after a short time","","","",""
"action_plasma_flare","Spalax plazmy","Plasma flare","","","",""
"actiondesc_plasma_flare","Mağičnyj snarjad, ŝo švydko pryskorjujetjsja","A magical projectile that accelerates quickly","","","",""
"action_keyshot","Ključovyj postril","Key shot","","","",""
"actiondesc_keyshot","Potužnyj snarjad. Ničoğo nezvyčajnoğo","A powerful projectile. Nothing out of ordinary","","","",""
"action_mana","Mana","Mana","","","",""
"actiondesc_mana","Dodatkova mana","Extra mana","","","",""
"action_skull","Čerep","Skull","","","",""
"actiondesc_skull","Strašnyj čerep!!!","Scary skull!!!","","","",""
"action_material_debug","striljaje materialy dlja vidladky","shoots debug material","","","",""
"actiondesc_material_debug","VYKORYSTOVUVATY TILJKY V REŽYMI NALAĞODŽENNJA!","ONLY TO BE USED IN DEBUG MODE!","","","",""
"action_material_liquid","striljaje ridynoju","shoots liquid","","","",""
"actiondesc_material_liquid","Kynjte joğo v ridynu ta striljajte!","Drop it in liquid and shoot it!","","","",""
"action_mist_radioactive","Toksyčnyj tuman","Toxic mist","","","",""
"actiondesc_mist_radioactive","Xmara toksyčnoğo tumanu","A cloud of toxic mist","","","",""
"action_mist_alcohol","Tuman duxiv","mist of spirits","","","",""
"actiondesc_mist_alcohol","Xmara potužnoğo alkoğolju","A cloud of potent alcohol","","","",""
"action_mist_slime","Tuman slyzu","Slime mist","","","",""
"actiondesc_mist_slime","Xmara slyzovoğo tumanu","A cloud of slimy mist","","","",""
"action_mist_blood","Krov'janyj tuman","Blood mist","","","",""
"actiondesc_mist_blood","Xmara krov'janoğo tumanu","A cloud of blood mist","","","",""
"action_circle_fire","Kolo voğnju","Circle of fire","","","",""
"actiondesc_circle_fire","Kolo palajučoğo povitrja, ŝo rozšyrjujetjsja","An expanding circle of burning air","","","",""
"action_circle_acid","Kolo kysloty","Circle of acid","","","",""
"actiondesc_circle_acid","Kolo ïdkoï kysloty, ŝo rozšyrjujetjsja","An expanding circle of dripping acid","","","",""
"action_circle_oil","Kolo nafty","Circle of oil","","","",""
"actiondesc_circle_oil","Kolo slyzjkoï nafty, ŝo rozšyrjujetjsja","An expanding circle of slick oil","","","",""
"action_circle_water","Kolo vody","Circle of water","","","",""
"actiondesc_circle_water","Kolo vody, ŝo rozšyrjujetjsja","An expanding circle of water","","","",""
"action_material_water","Voda","Water","","","",""
"actiondesc_material_water","Stvorjuje krapli vody z ničoğo","Transmute drops of water from nothing","","","",""
"action_material_oil","Nafta","Oil","","","",""
"actiondesc_material_oil","Stvorjuje krapli nafty z ničoğo","Transmute drops of oil from nothing","","","",""
"action_material_blood","Krov","Blood","","","",""
"actiondesc_material_blood","Krov, krov, krov!","Blood blood blood","","","",""
"action_material_acid","Kyslota","Acid","","","",""
"actiondesc_material_acid","Stvorjuje kyslotu z ničoğo","Transmute drops of acid from nothing","","","",""
"action_material_cement","Cement","Cement","","","",""
"actiondesc_material_cement","Stvorjuje krapli voloğoğo cementu z ničoğo","Transmute drops of wet cement from nothing","","","",""
"action_material_lava","Lava","Lava","","","",""
"actiondesc_material_lava","Stvorjuje zğustky lavy z ničoğo","Transmute globs of lava from nothing","","","",""
"action_material_gunpowder_explosive","Vybuxovyj porox","Explosive gunpowder","","","",""
"actiondesc_material_gunpowder_explosive","Stvorjuje piŝynky poroxu z ničoğo","Transmute grains of gunpowder from nothing","","","",""
"action_material_dirt","Zemlja","Dirt","","","",""
"actiondesc_material_dirt","Stvorjuje piŝynky zemli z ničoğo","Transmute grains of dirt from nothing","","","",""
"action_building_board_wood","Derev'jana forma","Wooden mold","","","doesn't need to be translated",""
"actiondesc_building_board_wood","Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.","Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.","","","doesn't need to be translated",""
"action_building_back_wall_rock","Back wall (rock)","Back wall (rock)","","","doesn't need to be translated",""
"actiondesc_building_back_wall_rock","Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.","Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.","","","doesn't need to be translated",""
"action_building_pressure_plate","Natyskna plastyna","Pressure plate","","","doesn't need to be translated",""
"actiondesc_building_pressure_plate","TODO","TODO","","","doesn't need to be translated",""
"action_building_physics_templedoor","Dveri xramu","Temple door","","","doesn't need to be translated",""
"actiondesc_building_physics_templedoor","TODO","TODO","","","doesn't need to be translated",""
"action_teleport_projectile","Teleportacijnyj snarjad","Teleport bolt","","","",""
"actiondesc_teleport_projectile","Mağičnyj bolt, jakyj perenosytj vas, kudy b vin ne poletiv","A magical bolt that moves you wherever it ends up flying","","","",""
"action_teleport_home","Teleportacija dodomu","Teleport home","","","",""
"actiondesc_teleport_home","Stvorjuje portal na poverxnju, jakyj možna vykorystovuvaty po odnomu razu v kožnomu naprjamku","Creates a portal to the surface that can be used once per each direction","","","",""
"action_levitation_projectile","LEVITATION projectile","LEVITATION projectile","","","",""
"actiondesc_levitation_projectile","Levitation stuff","Levitation stuff","","","",""
"action_nuke","Jaderna bomba","Nuke","","","",""
"actiondesc_nuke","V ukryttja!","Take cover!","","","",""
"action_high_explosive","Vybuxivka","TNT","","","",""
"actiondesc_high_explosive","Nadzvyčajno potužnyj vybuxovyj snarjad","Extremely powerful explosive projectile","","","",""
"action_drone","Dron","Drone","","","",""
"actiondesc_drone","Biljš potužne kopannja","More powerful digging","","","",""
"action_baab_is","IS","IS","","","doesn't need to be translated",""
"actiondesc_baab_is","","","","","doesn't need to be translated",""
"action_baab_all","VSE","ALL","","","doesn't need to be translated",""
"actiondesc_baab_all","","","","","doesn't need to be translated",""
"action_baab_empty","VSE","ALL","","","doesn't need to be translated",""
"actiondesc_baab_empty","","","","","doesn't need to be translated",""
"action_baab_lava","LAVA","LAVA","","","doesn't need to be translated",""
"actiondesc_baab_lava","","","","","doesn't need to be translated",""
"action_baab_water","VODA","WATER","","","doesn't need to be translated",""
"actiondesc_baab_water","","","","","doesn't need to be translated",""
"action_baab_poop","LAJNO","POOP","","","doesn't need to be translated",""
"actiondesc_baab_poop","","","","","doesn't need to be translated",""
"action_baab_love","LJUBOV","LOVE","","","doesn't need to be translated",""
"actiondesc_baab_love","","","","","doesn't need to be translated",""
"action_firework","Fejerverky!","Fireworks!","","","",""
"actiondesc_firework","Voğnjanyj vybuxovyj snarjad","A fiery, explosive projectile","","","",""
"projectile_default","snarjad","projectile","","","",""
"perk_critical_hit","Krytyčnyj udar +","Critical Hit +","","","",""
"perkdesc_critical_hit","Vy zavdajete biljše krytyčnyx udariv","You get more critical hits","","","",""
"perk_breath_underwater","Pidvodne dyxannja","Breathless","","","",""
"perkdesc_breath_underwater","Vy ne zadyxajetesja pry zanurenni.","You won't drown when submerged.","","","",""
"perk_extra_money","Žadibnistj","Greed","","","",""
"perkdesc_extra_money","Vy otrymujete podvijne zoloto z samorodkiv.","You gain double the gold per nugget.","","","",""
"perk_extra_money_trick_kill","Žadibnyj trjuk","Trick Greed","","","",""
"perkdesc_extra_money_trick_kill","4x zamistj 2x zolota padaje, koly smertj je neŝasnym vypadkom.","4x instead of 2x gold is dropped when death is an accident.","","","",""
"perk_hover_boost","Syljna levitacija","Strong Levitation","","","",""
"perkdesc_hover_boost","Vy možete litaty na 100% dovše.","You can fly 100% longer.","","","",""
"perk_movement_faster","Švydšyj rux","Faster Movement","","","",""
"perkdesc_movement_faster","Švydkistj ruxu zbiljšena.","Your movement speed is increased.","","","",""
"perk_repelling_cape","Vidštovxuvaljna nakydka","Repelling Cape","","","",""
"perkdesc_repelling_cape","Švydke očyŝennja pljam pid čas ruxu.","Stains drop at a fast rate (when moving).","","","",""
"perk_exploding_corpses","Vybuxovi trupy","Exploding Corpses","","","",""
"perkdesc_exploding_corpses","Voroğy vybuxajutj pry smerti.","Enemies explode upon death.","","","",""
"perk_saving_grace","Rjativna blağodatj","Saving Grace","","","",""
"perkdesc_saving_grace","Jakŝo vy pomrete zi ponad 1 OZ, to zamistj smerti vaše zdorov'ja vstanovytjsja na 1.","If you would die and have more than 1 HP, your HP is set to 1 instead.","","","",""
"perk_invisibility","Nevydymistj","Invisibility","","","",""
"perkdesc_invisibility","Vy nevydymi. Pljamy, zaklynannja, kopnjaky ta poškodžennja robljatj vas tymčasovo vydymymy.","You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.","","","",""
"perk_global_gore","Biljše krovi","More Blood","","","",""
"perkdesc_global_gore","Krov, krov, krov!","Blood blood blood.","","","",""
"perk_no_damage_flash","No Damage Flash","No Damage Flash","","","",""
"perkdesc_no_damage_flash","Pain is inevitable, but damage flash is optional.","Pain is inevitable, but damage flash is optional.","","","",""
"perk_reverse_slowdown","Slyzjkyj slyz","Slicky Slime","","","",""
"perkdesc_reverse_slowdown","Zamistj spoviljnennja, slyz dozvoljaje vam ruxatysja švydše.","Instead of slowing you down, slime allows you to move faster.","","","",""
"perk_extra_hp","Dodatkove zdorov’ja","Extra Health","","","",""
"perkdesc_extra_hp","Vy otrymujete 50% dodatkovoğo maksymaljnoğo zdorov’ja.","You gain 50% extra maximum health.","","","",""
"perk_glass_cannon","Skljana ğarmata","Glass Cannon","","","",""
"perkdesc_glass_cannon","Vaši zaklynannja zavdajutj 5-kratnu škodu i majutj biljšu daljnistj diï, ale vaše maksymaljne zdorov'ja obmežene do 50.","Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.","","","",""
"perk_respawn","Dodatkove žyttja (Odnorazovo)","Extra Life (One-off)","","","",""
"perkdesc_respawn","Pry smerti vy vidrodytesja zi 100 zdorov'ja.","Upon death you respawn with 100 health.","","","",""
"perk_protection_fire","Imunitet do voğnju","Fire Immunity","","","",""
"perkdesc_protection_fire","Vy ne otrymujete škody vid voğnju.","You take no damage from fire.","","","",""
"perk_protection_radioactivity","Imunitet do toksyčnoğo osadu","Toxic Sludge Immunity","","","",""
"perkdesc_protection_radioactivity","Vy ne otrymujete škody vid toksyčnoğo osadu.","You take no damage from toxic sludge.","","","",""
"perk_protection_explosion","Imunitet do vybuxiv","Explosion Immunity","","","",""
"perkdesc_protection_explosion","Vy ne otrymujete škody vid vybuxiv.","You take no direct damage from explosions.","","","",""
"perk_protection_melee","Imunitet do blyžnjoğo boju","Melee Immunity","","","",""
"perkdesc_protection_melee","Vy ne otrymujete škody vid atak blyžnjoğo boju.","You take no damage from close-range enemy attacks.","","","",""
"perk_protection_electricity","Imunitet do elektryky","Electricity Immunity","","","",""
"perkdesc_protection_electricity","Vy ne otrymujete škody vid elektryčnyx rozrjadiv.","You take no damage from electric shocks.","","","",""
"perk_teleportitis","Teleportozys","Teleportitis","","","",""
"perkdesc_teleportitis","Vy otrymujete na 20% menše škody, ale vy teleportujetesja ğetj, kožnoğo razu, koly otrymujete škodu.","You take 20% less damage. You teleport away every time you're hurt.","","","",""
"perk_stainless_armour","Neržavijuča bronja","Stainless Armour","","","",""
"perkdesc_stainless_armour","Vy otrymujete na 50% menše škody, do poky vy ne zabrudneni.","You take 50% less damage as long as you have no active stain status effect.","","","",""
"perk_edit_wands_everywhere","Redağuvannja bez kordoniv","Tinker With Wands Everywhere","","","",""
"perkdesc_edit_wands_everywhere","Božestvenne blağoslovennja dozvoljaje vam redağuvaty palyčky budj-de.","A divine blessing allows you to tinker with wands everywhere.","","","",""
"perk_projectile_homing","Samonavidni vystrily","Homing Shots","","","",""
"perkdesc_projectile_homing","Vaši zaklynannja zovsim troxy navodjatjsja na voroğiv.","Your spells home towards enemies very slightly.","","","",""
"perk_freeze_field","Morozne pole","Freeze Field","","","",""
"perkdesc_freeze_field","Ridyny zamerzajutj u vašij prysutnosti.","Liquids freeze in your presence.","","","",""
"perk_dissolve_powders","Rozčynennja poroškiv","Dissolve Powders","","","",""
"perkdesc_dissolve_powders","Pisok ta inši m'jaki, sypuči materialy švydko znykajutj u vašij prysutnosti.","Sand and other soft, powdery materials dissolve quickly in your presence.","","","",""
